day,strain,species,treat,repl,density,size,phycoerythrin,chlorophyll,phycocyanin
0,2383,VIII,A,1,3592.22670545239,3.22183551477193,2.3880499926761,4.21935374325735,5.60246481671338
1,2383,VIII,A,1,3514.20766479965,3.15823580038916,2.51312435917143,4.58124062126739,5.98650314542231
2,2383,VIII,A,1,3282.95930677232,3.22061698311877,2.50819374884695,4.66230248851075,6.07589642805555
3,2383,VIII,A,1,3069.53802815747,3.4372047904258,2.56355194794853,4.80221549052907,6.22302620333119
4,2383,VIII,A,1,3340.00911491473,3.5721856112099,2.67602313087691,4.96271009518718,6.351731253317
5,2383,VIII,A,1,3261.01818623557,3.61237982456242,2.60303327633735,5.04029602055482,6.48872690302071
6,2383,VIII,A,1,3375.27709591898,3.58647161793637,2.58077751997379,5.0234985289776,6.47263757500834
7,2383,VIII,A,1,3887.38258628132,3.49667405223904,2.54715066659283,4.85430563460087,6.26633487542267
8,2383,VIII,A,1,4501.49410087557,3.35772677764755,2.53597981041773,4.76127943459461,6.14681463838772
9,2383,VIII,A,1,4679.110929325,3.36347345210769,2.5007178586774,4.63768054769919,6.04210303594405
0,2383,VIII,A,2,3592.74773576884,3.10037331074748,2.39880147164297,4.23506534478924,5.61491850754393
1,2383,VIII,A,2,3480.12495394266,3.1701894611024,2.60134822475621,4.62139383404029,5.99611326753896
2,2383,VIII,A,2,3351.89522982715,3.24085535851072,2.52512161431938,4.6926784321901,6.11939954305531
3,2383,VIII,A,2,3258.25233199616,3.3571904152477,2.54680304535853,4.80955121704508,6.24305198986793
4,2383,VIII,A,2,3404.78443356831,3.50375826929139,2.5715035332374,4.9382818543338,6.38960864788763
5,2383,VIII,A,2,3351.61188426342,3.62265008626398,2.60363165487606,5.02639238163138,6.48259652723446
6,2383,VIII,A,2,3361.38605755896,3.70125331308259,2.59585509719525,5.0713534011256,6.54589855250444
7,2383,VIII,A,2,3963.68149423992,3.62457789340564,2.61871565575451,5.21361572342014,6.6293975488107
8,2383,VIII,A,2,4506.77864622593,3.4885931324701,2.61958168646771,5.08372046257503,6.53371605061438
9,2383,VIII,A,2,4387.25834737286,3.62417223099083,2.6114230582537,5.13294366526876,6.60126299848251
0,2383,VIII,A,3,3546.69842323064,3.20018032822512,2.41717852024878,4.25141364339011,5.62553766867821
1,2383,VIII,A,3,3323.70523256536,3.1425921439102402,2.50629822094841,4.58903969126367,5.9814844680452
2,2383,VIII,A,3,3519.58610624946,3.22901954462654,2.501153487697,4.63614154901293,6.05346616664072
3,2383,VIII,A,3,3202.99079079794,3.3500181795983,2.55154662059295,4.8096207839572,6.23359442010077
4,2383,VIII,A,3,3094.14710694912,3.54460783451796,2.57982218322162,4.9572645338769,6.39222751432097
5,2383,VIII,A,3,3340.91580088085,3.6381474214113,2.6094243488753,5.06711113025089,6.50329397645452
6,2383,VIII,A,3,3235.58805965933,3.73505997338575,2.59452885359173,5.10658066441952,6.55722374226238
7,2383,VIII,A,3,3608.50775503297,3.64121149094832,2.63017983864449,5.20088176661825,6.61853872527392
8,2383,VIII,A,3,4271.39413915953,3.54130589486373,2.62602961652778,5.12911688556983,6.5662268166258
9,2383,VIII,A,3,4268.61050728859,3.68189908811927,2.61514032693332,5.20488458120283,6.66487067099206
0,2383,VIII,AT,1,3494.0171336496,3.08883610763707,2.41286646674481,4.26660628580837,5.66164809315967
1,2383,VIII,AT,1,3676.10231478948,3.19623322763394,2.51805429764335,4.75421604546643,6.130234693704
2,2383,VIII,AT,1,3787.7588050652,3.23045918346193,2.5269595979742,4.75807919260938,6.16770225084644
3,2383,VIII,AT,1,3489.17418939718,3.46487921975638,2.57524029889561,4.93889571147584,6.39263733762922
4,2383,VIII,AT,1,3932.2713689718,3.33324526119395,2.5649430896155,4.96118083674708,6.38876573465973
5,2383,VIII,AT,1,4365.44706610754,3.3018600242046,2.54463687279912,4.79580621946784,6.22713215284588
6,2383,VIII,AT,1,4765.34659574312,3.32277090637264,2.51500660601201,4.64299604061964,6.09002821260041
7,2383,VIII,AT,1,4913.08630286352,3.40903529927061,2.48196566025461,4.58013298164383,6.0126913705833
8,2383,VIII,AT,1,8424.61333502385,2.99565065847644,2.43662747425168,4.44995717802019,5.88989579968782
9,2383,VIII,AT,1,7981.71293933885,2.8936767895947,2.40943525844535,4.38623372391417,5.81940787993468
0,2383,VIII,AT,2,3457.56918826217,3.09279315324447,2.44516784802187,4.29156997299968,5.67465904716451
1,2383,VIII,AT,2,3949.5638257753,3.1325437691341,2.52930861471891,4.76843308397646,6.15248089612224
2,2383,VIII,AT,2,3972.64941019362,3.17813841967747,2.53474494806669,4.71922312438922,6.12676034674439
3,2383,VIII,AT,2,3919.77106591059,3.38305871785312,2.58845611944663,4.89609948626806,6.34186423110047
4,2383,VIII,AT,2,4447.14256283716,3.28491459866077,2.57874509636283,4.9330144175047,6.36627423504369
5,2383,VIII,AT,2,4723.69299867388,3.27033629489788,2.54953903733834,4.78253183684325,6.2279146538797
6,2383,VIII,AT,2,8542.16099680609,2.85714265412149,2.43418574346487,4.51522062938434,5.99410829650364
7,2383,VIII,AT,2,9291.15700426855,3.00030468250619,2.428351813276,4.49327577060231,5.95046677042232
8,2383,VIII,AT,2,9269.38940020442,2.95868655348589,2.43852964400137,4.40737619141341,5.86875587325779
9,2383,VIII,AT,2,9120.83963546323,2.92247116965153,2.40226779305386,4.34478888460563,5.78759595256785
0,2383,VIII,AT,3,3648.69177505407,3.07903006364401,2.42197730418879,4.2969767486832,5.67728759027364
1,2383,VIII,AT,3,3690.73291727774,3.12796498009374,2.54502540471612,4.76694619077693,6.14568345170651
2,2383,VIII,AT,3,3929.5111920384,3.1467514391277,2.6049791531962,4.73841148902155,6.11972192425019
3,2383,VIII,AT,3,3751.34911200165,3.34764458416841,2.56996144867259,4.91173640392025,6.36146172778335
4,2383,VIII,AT,3,4571.39716642438,3.1991447354871,2.56939910062273,4.91404528579101,6.34765666589802
5,2383,VIII,AT,3,4987.50233503153,3.20236140444051,2.52784437196958,4.77001591639335,6.21760341347493
6,2383,VIII,AT,3,8967.01052649004,2.79896461619516,2.42830608554415,4.54001742448033,6.03600860980992
7,2383,VIII,AT,3,9115.76532789265,2.94017717270159,2.43172301369981,4.47422934633605,5.94598223772493
8,2383,VIII,AT,3,8840.0540085393,2.92661272989001,2.42691336312332,4.40212615450414,5.87871104343076
9,2383,VIII,AT,3,9587.63081938638,2.91453050342325,2.41555582660121,4.36328418698716,5.82939741519844
0,2383,VIII,C,1,3392.65478712079,3.13072198124361,2.49182369859462,4.6121134790664,6.0584027872017
1,2383,VIII,C,1,8365.95703158805,3.16905191328381,2.56017462920727,5.11324470161998,6.5879042252212
2,2383,VIII,C,1,15171.8865805761,2.85395740484544,2.51804756250301,4.78301436778522,6.30376357695154
3,2383,VIII,C,1,25668.9770496526,2.89924302348577,2.50528215221259,4.8706458166607,6.35298227289202
4,2383,VIII,C,1,49578.5545612877,2.79848008798815,2.53871521853066,4.88119746524544,6.44684319372545
5,2383,VIII,C,1,75250.7709366232,2.79514653695857,2.47743010129221,4.69794129934649,6.29918752773159
6,2383,VIII,C,1,86422.496553149,2.54139188655251,2.41296740844798,4.41508555753614,6.02773276189648
7,2383,VIII,C,1,87355.1924127101,2.65267777774611,2.39525697621059,4.36847533864189,5.97928058788327
8,2383,VIII,C,1,105334.671042001,2.61997594158568,2.40356778712542,4.28035223242945,5.86476571819032
9,2383,VIII,C,1,168971.304231731,2.5753586308968,2.39004077185918,4.2580548364576,5.85151373239126
0,2383,VIII,C,2,3289.44443859247,3.18422058719722,2.49979119674655,4.63608064301384,6.08723549551898
1,2383,VIII,C,2,9418.1545546276,3.11660998483518,2.56756938805911,5.08251761375149,6.56906736566903
2,2383,VIII,C,2,15886.3598130751,2.82547769152338,2.52103667865086,4.77499314061686,6.29696414223618
3,2383,VIII,C,2,27850.4536345109,2.95067958809711,2.53172221334539,4.85278627008735,6.34190288610992
4,2383,VIII,C,2,50827.1122402152,2.77112386032857,2.51408117784653,4.8212786945075,6.3856468163373
5,2383,VIII,C,2,72745.4905112253,2.7591856294699,2.45765339717813,4.65697808980256,6.25567860796949
6,2383,VIII,C,2,96154.4407888888,2.52300958559461,2.42811261366896,4.43902074662786,6.05421439980702
7,2383,VIII,C,2,90534.0872050953,2.62454748806633,2.39749820101963,4.30709611002412,5.93316492681647
8,2383,VIII,C,2,103819.091112748,2.60009211156331,2.3991138782646,4.25566036554216,5.85831903960983
9,2383,VIII,C,2,106495.686942358,2.50915034131021,2.35102603659368,4.13654722643172,5.72226133815421
0,2383,VIII,C,3,3372.84614501249,3.19071169871393,2.49267721365382,4.62024777899867,6.07520262015655
1,2383,VIII,C,3,8930.34818298392,3.08115139386903,2.57531172102616,5.0902756210117,6.58098723988941
2,2383,VIII,C,3,14450.7260984006,2.79990768473771,2.51419994305818,4.79171499091148,6.32091207703256
3,2383,VIII,C,3,26459.3152852165,2.95274931061777,2.53302482713672,4.84463099702688,6.32743105212257
4,2383,VIII,C,3,42321.8041217814,2.75788589432575,2.510995762137,4.8855401752276,6.44303918436037
5,2383,VIII,C,3,72517.4550550281,2.7291999536903,2.46120982614695,4.70715798233798,6.2883747854757
6,2383,VIII,C,3,92804.3134341613,2.57492393128246,2.43707426908946,4.5243045526895,6.13730633935481
7,2383,VIII,C,3,80315.9473448521,2.64661266664664,2.42852818813695,4.42567615262309,6.06380792748326
8,2383,VIII,C,3,97744.5189546779,2.64549885416766,2.41449060078468,4.34445786317423,5.94476110826105
9,2383,VIII,C,3,153703.407036423,2.59760602771376,2.38157865620222,4.25717215289572,5.83787319631277
0,2383,VIII,T,1,4520.46846007736,2.93957031074425,2.57751179384025,4.62521407939279,6.03395930544003
1,2383,VIII,T,1,9592.57211781077,3.19754720902848,2.57742845668976,5.05397103123321,6.53381823607066
2,2383,VIII,T,1,15966.2907404088,2.97123032370773,2.50194496130551,4.80180918738737,6.3054104187678
3,2383,VIII,T,1,35193.2812523058,2.71669009324603,2.4996016959893,4.7724096069839,6.2434682829754
4,2383,VIII,T,1,64627.9333714936,2.80141170267706,2.45800588473354,4.79769188866938,6.33820304459183
5,2383,VIII,T,1,88708.3928199214,2.79390674152539,2.45114276703476,4.6074678517704,6.18684622282545
6,2383,VIII,T,1,140862.473403858,2.47556376399764,2.38177468764869,4.3947443145045,5.97630235645387
7,2383,VIII,T,1,129195.641723023,2.67268990930251,2.39629411365132,4.24173634164783,5.83520268267942
8,2383,VIII,T,1,154758.109559122,2.62393092659284,2.35243190413451,4.14522999507542,5.69484157828276
9,2383,VIII,T,1,151853.589677276,2.68486618339469,2.33520143589592,4.08195864916405,5.62372342709251
0,2383,VIII,T,2,4171.85024915352,2.8665139949008,2.48687286082849,4.57570501369514,6.02731759238985
